cell_type,marker_gene,num_datasets,datasets,avg_score,score_Misharin_Budinger_2018,score_Krasnow_2020,score_Banovich_Kropski_2020,score_Nawijn_2021,score_Barbry_Leroy_2020,score_Teichmann_Meyer_2019,score_Lafyatis_Rojas_2019_10Xv2,score_Meyer_2019,score_Jain_Misharin_2021_10Xv2,score_Seibold_2020_10Xv3,score_Seibold_2020_10Xv2
Endothelial,VWF_ENSG00000110799,8,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9994044816608376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9952358532867008,,,
Endothelial,GPR146_ENSG00000164849,8,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9956829039683209,0.9709177482128387,1.0,1.0,1.0,0.9996513249651325,1.0,0.9983249581239532,0.9965692004446431,,,
Endothelial,TIE1_ENSG00000066056,8,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.991181878896335,0.976946337942834,1.0,1.0,0.9571259810948046,0.999625468164794,1.0,0.9957572439682477,1.0,,,
Endothelial,PTPRB_ENSG00000127329,8,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9911091350058625,0.9331489595175638,1.0,1.0,0.9957241205293362,1.0,1.0,1.0,1.0,,,
Endothelial,PLVAP_ENSG00000130300,8,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019, Jain_Misharin_2021_10Xv2",0.9826906166264604,1.0,,1.0,0.9994435169727324,1.0,1.0,0.9992363497518136,0.9926416482707873,0.8702034180163496,,
Endothelial,ADGRL4_ENSG00000162618,8,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019, Jain_Misharin_2021_10Xv2",0.9587878997274073,0.9942451859910705,,1.0,0.9943714821763603,1.0,1.0,1.0,1.0,0.6816865296518274,,
Endothelial,EMCN_ENSG00000164035,7,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,
Endothelial,CYYR1_ENSG00000166265,7,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9998396754739778,1.0,,1.0,1.0,1.0,1.0,0.9988777283178448,1.0,,,
Endothelial,CLDN5_ENSG00000184113,7,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9997738570952857,0.9996669996669997,1.0,1.0,,1.0,1.0,1.0,0.9987499999999999,,,
Endothelial,MMRN1_ENSG00000138722,7,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9997247453894852,1.0,,1.0,0.998073217726397,1.0,1.0,1.0,1.0,,,
Endothelial,ECSCR_ENSG00000249751,7,"Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9991181657848325,,1.0,1.0,0.9938271604938271,1.0,1.0,1.0,1.0,,,
Endothelial,NRN1_ENSG00000124785,7,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9990624939232455,1.0,,1.0,0.99461531376425,1.0,1.0,0.9988221436984688,1.0,,,
Endothelial,SOX18_ENSG00000203883,7,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Meyer_2019, Jain_Misharin_2021_10Xv2",0.9983799149419179,0.9896564135665065,,1.0,1.0,1.0,1.0,,1.0,0.9990029910269191,,
Endothelial,CLEC14A_ENSG00000176435,7,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019, Jain_Misharin_2021_10Xv2",0.9971503823532016,0.9813806977207512,1.0,1.0,,,1.0,1.0,1.0,0.99867197875166,,
Endothelial,CDH5_ENSG00000179776,7,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9963497213875615,1.0,1.0,1.0,,1.0,1.0,1.0,0.9744480497129305,,,
Endothelial,ROBO4_ENSG00000154133,7,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Meyer_2019",0.9943299056995494,1.0,1.0,1.0,0.9603093398968451,1.0,1.0,,1.0,,,
Endothelial,RAMP3_ENSG00000122679,7,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9925855661616926,0.9494707052443307,1.0,1.0,,1.0,1.0,1.0,0.9986282578875172,,,
Endothelial,SLCO2A1_ENSG00000174640,7,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.986512145571548,0.9366645318674157,1.0,1.0,0.9736753590325019,,1.0,0.995245128100918,1.0,,,
Endothelial,MYCT1_ENSG00000120279,7,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9810203331960688,0.9862830197185373,,1.0,0.8846423953036568,1.0,1.0,0.9962169173502878,1.0,,,
Endothelial,PCAT19,7,"Misharin_Budinger_2018, Krasnow_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9791244120982391,1.0,1.0,,0.9993011879804333,1.0,1.0,0.9834270552083121,0.8711426414989276,,,
Endothelial,ACKR1_ENSG00000213088,7,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9529179070827493,1.0,,1.0,1.0,1.0,0.7372856268977901,1.0,0.9331397226814543,,,
Endothelial,CALCRL_ENSG00000064989,7,"Krasnow_2020, Banovich_Kropski_2020, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019, Jain_Misharin_2021_10Xv2",0.9093280797352831,,1.0,1.0,,0.9911106101079662,0.9173291763994271,0.9991728701406121,0.9008243022146543,0.556859599284322,,
Endothelial,TM4SF18_ENSG00000163762,6,"Misharin_Budinger_2018, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9983309052383387,1.0,,,0.9921221835667838,1.0,1.0,0.9978632478632479,1.0,,,
Endothelial,RAMP2_ENSG00000131477,6,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Barbry_Leroy_2020, Lafyatis_Rojas_2019_10Xv2, Jain_Misharin_2021_10Xv2",0.9962561459815671,1.0,1.0,0.9990029910269193,,1.0,,0.9825209569328108,,0.9960129279296734,,
Endothelial,CCL14_ENSG00000276409,6,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Meyer_2019",0.9943289441670246,0.9659736650021474,,1.0,1.0,1.0,1.0,,1.0,,,
Endothelial,ERG_ENSG00000157554,6,"Misharin_Budinger_2018, Banovich_Kropski_2020, Barbry_Leroy_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9933145639296946,0.9749032907023478,,1.0,,0.9986338797814208,1.0,1.0,0.9863502130943992,,,
Endothelial,MMRN2_ENSG00000173269,6,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9790343686910692,1.0,,1.0,0.9385002293408989,1.0,,1.0,0.9357059828055155,,,
Endothelial,TSPAN7_ENSG00000156298,6,"Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.971884117950526,,1.0,1.0,0.9982578397212544,1.0,,0.9981114258734656,0.8349354421084355,,,
Endothelial,BTNL9_ENSG00000165810,6,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2",0.9675015251999056,1.0,1.0,1.0,0.80699327818356,,1.0,0.998015873015873,,,,
Endothelial,EGFL7_ENSG00000172889,6,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Lafyatis_Rojas_2019_10Xv2",0.9658744305732753,0.9388907425072673,1.0,1.0,0.9633588310287339,0.8985001545577389,,0.994496855345912,,,,
Endothelial,NOTCH4_ENSG00000204301,6,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Teichmann_Meyer_2019, Meyer_2019",0.9587887203344344,1.0,1.0,1.0,0.8557069459450529,,1.0,,0.8970253760615523,,,
Endothelial,SELE_ENSG00000007908,5,"Misharin_Budinger_2018, Nawijn_2021, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",1.0,1.0,,,1.0,,1.0,1.0,1.0,,,
Endothelial,SELP_ENSG00000174175,5,"Misharin_Budinger_2018, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Meyer_2019",1.0,1.0,,,1.0,1.0,1.0,,1.0,,,
Endothelial,DIPK2B_ENSG00000147113,5,"Misharin_Budinger_2018, Nawijn_2021, Barbry_Leroy_2020, Teichmann_Meyer_2019, Meyer_2019",0.999512656715601,1.0,,,0.997563283578005,1.0,1.0,,1.0,,,
Endothelial,GPIHBP1_ENSG00000277494,5,"Krasnow_2020, Nawijn_2021, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9985863891320559,,1.0,,0.9951690821256038,,1.0,0.9977628635346756,1.0,,,
Endothelial,PCDH17_ENSG00000118946,5,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Teichmann_Meyer_2019, Meyer_2019",0.9966694676073381,0.9992900248491302,1.0,1.0,,,0.9849655784010029,,0.9990917347865577,,,
Endothelial,FCN3_ENSG00000142748,5,"Misharin_Budinger_2018, Krasnow_2020, Banovich_Kropski_2020, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9794697848771108,0.9061557289593442,1.0,1.0,,,,0.9911931954262098,1.0,,,
Endothelial,ADCY4_ENSG00000129467,5,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Teichmann_Meyer_2019, Meyer_2019",0.9768769157800286,0.9783698596404826,,1.0,0.9060147192596603,,1.0,,1.0,,,
Endothelial,HYAL2_ENSG00000068001,5,"Krasnow_2020, Banovich_Kropski_2020, Nawijn_2021, Barbry_Leroy_2020, Lafyatis_Rojas_2019_10Xv2",0.960581925613609,,1.0,1.0,0.8096165361834041,1.0,,0.9932930918846412,,,,
Endothelial,PECAM1_ENSG00000261371,5,"Krasnow_2020, Banovich_Kropski_2020, Lafyatis_Rojas_2019_10Xv2, Meyer_2019, Jain_Misharin_2021_10Xv2",0.9166586056236646,,0.987072945521699,0.971476095489462,,,,0.9457078190264788,1.0,0.6790361680806831,,
Endothelial,SOX17_ENSG00000164736,4,"Misharin_Budinger_2018, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",1.0,1.0,,,,,1.0,1.0,1.0,,,
Endothelial,SOX7_ENSG00000171056,4,"Misharin_Budinger_2018, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",1.0,1.0,,,,,1.0,1.0,1.0,,,
Endothelial,FLT1_ENSG00000102755,4,"Misharin_Budinger_2018, Banovich_Kropski_2020, Nawijn_2021, Lafyatis_Rojas_2019_10Xv2",1.0,1.0,,1.0,1.0,,,1.0,,,,
Endothelial,LCN6_ENSG00000267206,4,"Misharin_Budinger_2018, Nawijn_2021, Teichmann_Meyer_2019, Meyer_2019",0.9996345029239766,1.0,,,1.0,,1.0,,0.9985380116959064,,,
Endothelial,CA4_ENSG00000167434,4,"Krasnow_2020, Teichmann_Meyer_2019, Lafyatis_Rojas_2019_10Xv2, Meyer_2019",0.9972482981993852,,1.0,,,,0.9889931927975407,1.0,1.0,,,
